p1,p2,p3,n1,n2,n3
0.04345,0.04619,0.044685,0.038368,0.036065,0.03969
0.04619,0.044685,0.038368,0.036065,0.03969,0.046712
0.044685,0.038368,0.036065,0.03969,0.046712,0.040456
0.038368,0.036065,0.03969,0.046712,0.040456,0.043394
0.036065,0.03969,0.046712,0.040456,0.043394,0.040885
0.03969,0.046712,0.040456,0.043394,0.040885,0.049552
0.046712,0.040456,0.043394,0.040885,0.049552,0.040604
0.040456,0.043394,0.040885,0.049552,0.040604,0.041569
0.043394,0.040885,0.049552,0.040604,0.041569,0.050082
0.040885,0.049552,0.040604,0.041569,0.050082,0.04294
0.049552,0.040604,0.041569,0.050082,0.04294,0.042036
0.040604,0.041569,0.050082,0.04294,0.042036,0.041838
0.041569,0.050082,0.04294,0.042036,0.041838,0.042239
0.050082,0.04294,0.042036,0.041838,0.042239,0.04536
0.04294,0.042036,0.041838,0.042239,0.04536,0.052197
0.042036,0.041838,0.042239,0.04536,0.052197,0.035582
0.041838,0.042239,0.04536,0.052197,0.035582,0.046083
0.042239,0.04536,0.052197,0.035582,0.046083,0.044812
0.04536,0.052197,0.035582,0.046083,0.044812,0.038414
0.052197,0.035582,0.046083,0.044812,0.038414,0.038289
0.035582,0.046083,0.044812,0.038414,0.038289,0.041685
0.046083,0.044812,0.038414,0.038289,0.041685,0.037709
0.044812,0.038414,0.038289,0.041685,0.037709,0.04199
0.038414,0.038289,0.041685,0.037709,0.04199,0.036385
0.038289,0.041685,0.037709,0.04199,0.036385,0.037702
0.041685,0.037709,0.04199,0.036385,0.037702,0.035421
0.037709,0.04199,0.036385,0.037702,0.035421,0.036384
0.04199,0.036385,0.037702,0.035421,0.036384,0.044056
0.036385,0.037702,0.035421,0.036384,0.044056,0.041441
0.037702,0.035421,0.036384,0.044056,0.041441,0.045085
0.035421,0.036384,0.044056,0.041441,0.045085,0.040904
0.036384,0.044056,0.041441,0.045085,0.040904,0.047715
0.044056,0.041441,0.045085,0.040904,0.047715,0.050678
0.041441,0.045085,0.040904,0.047715,0.050678,0.052638
0.045085,0.040904,0.047715,0.050678,0.052638,0.047218
0.040904,0.047715,0.050678,0.052638,0.047218,0.035975
0.047715,0.050678,0.052638,0.047218,0.035975,0.038687
0.050678,0.052638,0.047218,0.035975,0.038687,0.054095
0.052638,0.047218,0.035975,0.038687,0.054095,0.040327
0.047218,0.035975,0.038687,0.054095,0.040327,0.03648
0.035975,0.038687,0.054095,0.040327,0.03648,0.035332
0.038687,0.054095,0.040327,0.03648,0.035332,0.03764
0.054095,0.040327,0.03648,0.035332,0.03764,0.035933
0.040327,0.03648,0.035332,0.03764,0.035933,0.036963
0.03648,0.035332,0.03764,0.035933,0.036963,0.034082
0.035332,0.03764,0.035933,0.036963,0.034082,0.031719
0.03764,0.035933,0.036963,0.034082,0.031719,0.027522
0.035933,0.036963,0.034082,0.031719,0.027522,0.035816
0.036963,0.034082,0.031719,0.027522,0.035816,0.029542
0.034082,0.031719,0.027522,0.035816,0.029542,0.031523
0.031719,0.027522,0.035816,0.029542,0.031523,0.031108
0.027522,0.035816,0.029542,0.031523,0.031108,0.036099
0.035816,0.029542,0.031523,0.031108,0.036099,0.03
0.029542,0.031523,0.031108,0.036099,0.03,0.028185
0.031523,0.031108,0.036099,0.03,0.028185,0.032546
0.031108,0.036099,0.03,0.028185,0.032546,0.031193
0.036099,0.03,0.028185,0.032546,0.031193,0.033462
0.03,0.028185,0.032546,0.031193,0.033462,0.042387
0.028185,0.032546,0.031193,0.033462,0.042387,0.031629
0.032546,0.031193,0.033462,0.042387,0.031629,0.037631
0.031193,0.033462,0.042387,0.031629,0.037631,0.041588
0.033462,0.042387,0.031629,0.037631,0.041588,0.035115
0.042387,0.031629,0.037631,0.041588,0.035115,0.039713
0.031629,0.037631,0.041588,0.035115,0.039713,0.043272
0.037631,0.041588,0.035115,0.039713,0.043272,0.040979
0.041588,0.035115,0.039713,0.043272,0.040979,0.039411
0.035115,0.039713,0.043272,0.040979,0.039411,0.033854
0.039713,0.043272,0.040979,0.039411,0.033854,0.036457
0.043272,0.040979,0.039411,0.033854,0.036457,0.045526
0.040979,0.039411,0.033854,0.036457,0.045526,0.044634
0.039411,0.033854,0.036457,0.045526,0.044634,0.044147
0.033854,0.036457,0.045526,0.044634,0.044147,0.044626
0.036457,0.045526,0.044634,0.044147,0.044626,0.055617
0.045526,0.044634,0.044147,0.044626,0.055617,0.043615
0.044634,0.044147,0.044626,0.055617,0.043615,0.044241
0.044147,0.044626,0.055617,0.043615,0.044241,0.049926
0.044626,0.055617,0.043615,0.044241,0.049926,0.049602
0.055617,0.043615,0.044241,0.049926,0.049602,0.046986
0.043615,0.044241,0.049926,0.049602,0.046986,0.048378
0.044241,0.049926,0.049602,0.046986,0.048378,0.049016
0.049926,0.049602,0.046986,0.048378,0.049016,0.052721
0.049602,0.046986,0.048378,0.049016,0.052721,0.04322
0.046986,0.048378,0.049016,0.052721,0.04322,0.056859
0.048378,0.049016,0.052721,0.04322,0.056859,0.050483
0.049016,0.052721,0.04322,0.056859,0.050483,0.052282
